"","Y7REL1ST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Confiance",22.5496358420121,5433.52628385584,5712,"2024-07-26",11204
"2","Catholique","Pas confiance",77.4503641579879,5433.52628385584,5712,"2024-07-26",11204
"3","Juive","Confiance",37.1934131996433,73.6740140695289,76,"2024-07-26",11204
"4","Juive","Pas confiance",62.8065868003567,73.6740140695289,76,"2024-07-26",11204
"5","Musulmane","Confiance",59.7908237338643,300.303699963467,227,"2024-07-26",11204
"6","Musulmane","Pas confiance",40.2091762661357,300.303699963467,227,"2024-07-26",11204
"7","Autre religion (protestante, boudhiste ou autre)","Confiance",37.2192986792511,473.930893404386,431,"2024-07-26",11204
"8","Autre religion (protestante, boudhiste ou autre)","Pas confiance",62.7807013207489,473.930893404386,431,"2024-07-26",11204
"9","Sans religion","Confiance",28.4456910779388,4786.32238135875,4653,"2024-07-26",11204
"10","Sans religion","Pas confiance",71.5543089220612,4786.32238135875,4653,"2024-07-26",11204
