"","Y7SEXEST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","Vous n'avez pas voté",12.1349250296333,4617.13421161615,4873,"2024-07-26",11204
"2","Homme","Vous avez voté",87.8650749703667,4617.13421161615,4873,"2024-07-26",11204
"3","Femme","Vous n'avez pas voté",12.6312106634067,5084.55260698898,4807,"2024-07-26",11204
"4","Femme","Vous avez voté",87.3687893365933,5084.55260698898,4807,"2024-07-26",11204
