"","PL3ST_5","pct","n","VAGUE","TAILLEECH"
"1","Le Rassemblement national comprend mieux et représente mieux les gens comme vous",10.4,1164.4,"2024-07-26",11204
"2","Non réponse",89.6,10039.6,"2024-07-26",11204
