"","Y7REL1ST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Des conséquences négatives",9.88255792456408,5433.52628385584,5712,"2024-07-26",11204
"2","Catholique","Des conséquences positives",70.9984629241892,5433.52628385584,5712,"2024-07-26",11204
"3","Catholique","Des conséquences ni positives, ni négatives",19.1189791512467,5433.52628385584,5712,"2024-07-26",11204
"4","Juive","Des conséquences négatives",20.5271368847802,73.6740140695289,76,"2024-07-26",11204
"5","Juive","Des conséquences positives",67.2956565060637,73.6740140695289,76,"2024-07-26",11204
"6","Juive","Des conséquences ni positives, ni négatives",12.1772066091562,73.6740140695289,76,"2024-07-26",11204
"7","Musulmane","Des conséquences négatives",32.6658595729187,300.303699963467,227,"2024-07-26",11204
"8","Musulmane","Des conséquences positives",48.0229761229036,300.303699963467,227,"2024-07-26",11204
"9","Musulmane","Des conséquences ni positives, ni négatives",19.3111643041776,300.303699963467,227,"2024-07-26",11204
"10","Autre religion (protestante, boudhiste ou autre)","Des conséquences négatives",21.6475227301391,473.930893404386,431,"2024-07-26",11204
"11","Autre religion (protestante, boudhiste ou autre)","Des conséquences positives",58.6066022761541,473.930893404386,431,"2024-07-26",11204
"12","Autre religion (protestante, boudhiste ou autre)","Des conséquences ni positives, ni négatives",19.7458749937068,473.930893404386,431,"2024-07-26",11204
