"","EDUR4ST","CERTST3","pct","n","unweighted_n","VAGUE"
"1","Aucun diplôme, CEP","3",50.0480883146668,83.3333021605973,64,"2023-06-16"
"2","BEPC, CAP, BEP","3",49.4946591769212,2387.23580671646,2189,"2023-06-16"
"3","Baccalauréat ","3",43.3839610990927,2570.79946473318,2409,"2023-06-16"
"4","Diplôme de l'enseignement supérieur","3",46.4110841353141,5589.63142638975,5969,"2023-06-16"
"5","Aucun diplôme, CEP","3",49.8152267256311,92.7294844544287,76,"2023-11-29"
"6","BEPC, CAP, BEP","3",44.9397699752616,2611.45221930879,2449,"2023-11-29"
"7","Baccalauréat ","3",40.2272480470645,2858.56365842357,2675,"2023-11-29"
"8","Diplôme de l'enseignement supérieur","3",44.1266813617722,6128.25463781316,6491,"2023-11-29"
"9","Aucun diplôme, CEP","3",61.143640199028,86.4385219125074,72,"2024-03-01"
"10","BEPC, CAP, BEP","3",57.0976615434281,2616.69156314277,2474,"2024-03-01"
"11","Baccalauréat ","3",55.7717153910054,2820.35478260972,2651,"2024-03-01"
"12","Diplôme de l'enseignement supérieur","3",56.2157646544248,6246.51513233494,6573,"2024-03-01"
"13","Aucun diplôme, CEP","3",63.4660868905811,83.1402204489367,69,"2024-04-19"
"14","BEPC, CAP, BEP","3",58.0719019204976,2374.86857196725,2217,"2024-04-19"
"15","Baccalauréat ","3",55.6169157914741,2583.84123903332,2455,"2024-04-19"
"16","Diplôme de l'enseignement supérieur","3",58.3436520818512,5609.14996855047,5910,"2024-04-19"
"17","Aucun diplôme, CEP","3",61.7854314596725,98.6802277043867,81,"2024-05-27"
"18","BEPC, CAP, BEP","3",63.381604656564,2436.31865234079,2240,"2024-05-27"
"19","Baccalauréat ","3",59.3121171985534,2789.56937864278,2625,"2024-05-27"
"20","Diplôme de l'enseignement supérieur","3",60.939819349525,6105.43174131202,6484,"2024-05-27"
