"","PL14ST_5","pct","n","VAGUE","TAILLEECH"
"1","Renforcé",64.7,6815.7,"2024-07-26",11204
"2","Affaibli",25.5,2688.5,"2024-07-26",11204
"3","Ni renforcé, ni affaibli",9.8,1028.3,"2024-07-26",11204
