"","AGERST","CERTST3","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","3",32.0146328919097,1177.79598617918,534,"2023-06-16",10600
"2","25 à 34 ans","3",34.6828226508151,1544.53058870427,1146,"2023-06-16",10600
"3","35 à 49 ans","3",39.0819138014954,2385.3587090775,2375,"2023-06-16",10600
"4","50 à 59 ans","3",44.7385597732451,1758.19248422752,2284,"2023-06-16",10600
"5","60 ans et plus","3",61.1187711063206,3765.12223181151,4292,"2023-06-16",10600
"6","18 à 24 ans","3",28.1537216500797,1295.26189956962,610,"2023-11-29",11691
"7","25 à 34 ans","3",31.6701579257535,1713.77348630683,1216,"2023-11-29",11691
"8","35 à 49 ans","3",35.8301878116985,2626.77820974119,2571,"2023-11-29",11691
"9","50 à 59 ans","3",42.3597236210839,1925.38530814723,2404,"2023-11-29",11691
"10","60 ans et plus","3",58.3491600950723,4129.80109623506,4890,"2023-11-29",11691
"11","18 à 24 ans","3",40.692682575343,1304.03207237465,708,"2024-03-01",11770
"12","25 à 34 ans","3",39.6468512915151,1725.37330816716,1290,"2024-03-01",11770
"13","35 à 49 ans","3",50.2568482837219,2644.5578703398,2447,"2024-03-01",11770
"14","50 à 59 ans","3",57.359503635469,1938.4163199214,2327,"2024-03-01",11770
"15","60 ans et plus","3",71.5738401897073,4157.62042919693,4998,"2024-03-01",11770
"16","18 à 24 ans","3",42.6957400301478,1180.04252862445,815,"2024-04-19",10651
"17","25 à 34 ans","3",40.3753364355236,1561.3233103499,1323,"2024-04-19",10651
"18","35 à 49 ans","3",50.6640743344225,2393.11315901977,2331,"2024-04-19",10651
"19","50 à 59 ans","3",59.4747912256471,1754.11547280275,1990,"2024-04-19",10651
"20","60 ans et plus","3",73.1343377203906,3762.4055292031,4192,"2024-04-19",10651
"21","18 à 24 ans","3",46.0781060706512,1266.34440433085,770,"2024-05-27",11430
"22","25 à 34 ans","3",44.9269396432174,1675.51299333899,1424,"2024-05-27",11430
"23","35 à 49 ans","3",54.6023383557072,2568.13589663487,2429,"2024-05-27",11430
"24","50 à 59 ans","3",62.9884471250613,1882.40414080337,2076,"2024-05-27",11430
"25","60 ans et plus","3",75.691352154938,4037.6025648919,4731,"2024-05-27",11430
