"","Y6SEXEST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","Vous n'avez pas voté",18.9294202152411,5635.93214870508,5895,"2024-06-21",11820
"2","Homme","Vous avez voté",81.0705797847589,5635.93214870508,5895,"2024-06-21",11820
"3","Femme","Vous n'avez pas voté",21.4726607355779,6181.58277282108,5923,"2024-06-21",11820
"4","Femme","Vous avez voté",78.5273392644221,6181.58277282108,5923,"2024-06-21",11820
