"","PL14ST_3","pct","n","VAGUE","TAILLEECH"
"1","Renforcé",10.6,1109.8,"2024-07-26",11204
"2","Affaibli",73.5,7688.3,"2024-07-26",11204
"3","Ni renforcé, ni affaibli",15.9,1659.6,"2024-07-26",11204
