"","Y7EDUST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Confiance",25.7878001828231,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Pas confiance",74.212199817177,416.435741483539,371,"2024-07-26",11204
"3","CAP, BEP","Confiance",20.0007956748357,2058.72753384448,1928,"2024-07-26",11204
"4","CAP, BEP","Pas confiance",79.9992043251643,2058.72753384448,1928,"2024-07-26",11204
"5","Baccalauréat","Confiance",27.2040352533169,2726.87094317154,2524,"2024-07-26",11204
"6","Baccalauréat","Pas confiance",72.7959647466831,2726.87094317154,2524,"2024-07-26",11204
"7","Bac +2","Confiance",26.0112112747918,2365.3989905054,2481,"2024-07-26",11204
"8","Bac +2","Pas confiance",73.9887887252082,2365.3989905054,2481,"2024-07-26",11204
"9","Bac +3 et plus","Confiance",31.148882951035,3630.1771838779,3895,"2024-07-26",11204
"10","Bac +3 et plus","Pas confiance",68.851117048965,3630.1771838779,3895,"2024-07-26",11204
