"","Y4Q7ST","Y4CERTST","pct","n","unweighted_n"
"1","A gauche","1",9.089495386507,2572.09528528404,2497
"2","A gauche","2",43.3211265312404,2572.09528528404,2497
"3","A gauche","3",47.5893780822526,2572.09528528404,2497
"4","Ni à gauche, ni à droite","1",9.8185561706601,3417.76197130346,3468
"5","Ni à gauche, ni à droite","2",48.7300883552981,3417.76197130346,3468
"6","Ni à gauche, ni à droite","3",41.4513554740418,3417.76197130346,3468
"7","A droite","1",5.72758243013597,3482.82997100905,3569
"8","A droite","2",40.8169686739613,3482.82997100905,3569
"9","A droite","3",53.4554488959027,3482.82997100905,3569
