"","PL14ST_4","pct","n","VAGUE","TAILLEECH"
"1","Renforcé",16.5,1723.4,"2024-07-26",11204
"2","Affaibli",67.4,7054.4,"2024-07-26",11204
"3","Ni renforcé, ni affaibli",16.2,1694,"2024-07-26",11204
