"","Y2PROXST","Y2CERTST","pct","n","unweighted_n"
"1","Lutte Ouvrière","1",13.7416150681126,85.2109247777604,66
"2","Lutte Ouvrière","2",70.2211780352554,85.2109247777604,66
"3","Lutte Ouvrière","3",16.037206896632,85.2109247777604,66
"4","Nouveau Parti Anticapitaliste","1",7.58889726088337,119.670439552228,96
"5","Nouveau Parti Anticapitaliste","2",70.8577533958939,119.670439552228,96
"6","Nouveau Parti Anticapitaliste","3",21.5533493432228,119.670439552228,96
"7","Parti Communiste Français","1",8.28177476223183,267.238539761347,295
"8","Parti Communiste Français","2",50.7539428358853,267.238539761347,295
"9","Parti Communiste Français","3",40.9642824018829,267.238539761347,295
"10","France Insoumise","1",10.567379350951,759.8817095321,581
"11","France Insoumise","2",56.5003734845206,759.8817095321,581
"12","France Insoumise","3",32.9322471645284,759.8817095321,581
"13","Parti Socialiste","1",9.82731704799701,875.960255636491,977
"14","Parti Socialiste","2",48.9530821672928,875.960255636491,977
"15","Parti Socialiste","3",41.2196007847102,875.960255636491,977
"16","Europe Ecologie - Les Verts","1",7.60676934609915,637.690028042053,665
"17","Europe Ecologie - Les Verts","2",54.2896453474517,637.690028042053,665
"18","Europe Ecologie - Les Verts","3",38.1035853064492,637.690028042053,665
"19","La République En Marche !, désormais Renaissance","1",5.29895788971435,1215.8834683329,1312
"20","La République En Marche !, désormais Renaissance","2",48.8329893042086,1215.8834683329,1312
"21","La République En Marche !, désormais Renaissance","3",45.868052806077,1215.8834683329,1312
"22","Le MoDem (Mouvement Démocrate)","1",4.99890131655501,202.737284720139,246
"23","Le MoDem (Mouvement Démocrate)","2",52.1898072183212,202.737284720139,246
"24","Le MoDem (Mouvement Démocrate)","3",42.8112914651238,202.737284720139,246
"25","Horizons","1",8.42507309560261,147.25215151662,179
"26","Horizons","2",49.2459199867973,147.25215151662,179
"27","Horizons","3",42.3290069176001,147.25215151662,179
"28","L’UDI (Union des Démocrates et Indépendants)","1",1.82809965959017,96.6903382774467,125
"29","L’UDI (Union des Démocrates et Indépendants)","2",55.0649957949146,96.6903382774467,125
"30","L’UDI (Union des Démocrates et Indépendants)","3",43.1069045454953,96.6903382774467,125
"31","Les Républicains","1",5.68401977793688,728.562222989551,919
"32","Les Républicains","2",52.6937836450286,728.562222989551,919
"33","Les Républicains","3",41.6221965770346,728.562222989551,919
"34","Debout la France","1",10.181931766719,167.010240434075,182
"35","Debout la France","2",46.9884167036281,167.010240434075,182
"36","Debout la France","3",42.8296515296529,167.010240434075,182
"37","Rassemblement national (ex Front National)","1",13.4133134657402,2090.1515711542,1955
"38","Rassemblement national (ex Front National)","2",46.0313312969264,2090.1515711542,1955
"39","Rassemblement national (ex Front National)","3",40.5553552373335,2090.1515711542,1955
"40","Reconquête!","1",7.09818798137507,354.447063888849,359
"41","Reconquête!","2",38.8984562211842,354.447063888849,359
"42","Reconquête!","3",54.0033557974407,354.447063888849,359
"43","Autre parti","1",14.3046524324762,165.53192753582,175
"44","Autre parti","2",57.0565175018546,165.53192753582,175
"45","Autre parti","3",28.6388300656692,165.53192753582,175
"46","Aucun parti","1",26.2713914120612,3774.50575869587,3557
"47","Aucun parti","2",55.4548555174712,3774.50575869587,3557
"48","Aucun parti","3",18.2737530704675,3774.50575869587,3557
