"","Y7EDUST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Souvent",20.5111336623932,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Rarement ou jamais",79.4888663376068,416.435741483539,371,"2024-07-26",11204
"3","CAP, BEP","Souvent",18.5635565912092,2058.72753384448,1928,"2024-07-26",11204
"4","CAP, BEP","Rarement ou jamais",81.4364434087908,2058.72753384448,1928,"2024-07-26",11204
"5","Baccalauréat","Souvent",23.2099089817407,2726.87094317154,2524,"2024-07-26",11204
"6","Baccalauréat","Rarement ou jamais",76.7900910182594,2726.87094317154,2524,"2024-07-26",11204
"7","Bac +2","Souvent",27.182352595474,2370.604336229,2485,"2024-07-26",11204
"8","Bac +2","Rarement ou jamais",72.817647404526,2370.604336229,2485,"2024-07-26",11204
"9","Bac +3 et plus","Souvent",31.397417928896,3631.36144527142,3896,"2024-07-26",11204
"10","Bac +3 et plus","Rarement ou jamais",68.602582071104,3631.36144527142,3896,"2024-07-26",11204
