"","Y7Q7ST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Sentiment positif (joie, espoir ou soulagement)",67.1478106203055,623.055830409475,532,"2024-07-26",11204
"2","Très à gauche","Indifférence",6.37312532988108,623.055830409475,532,"2024-07-26",11204
"3","Très à gauche","Sentiment négatif (déception, colère ou peur)",26.4790640498134,623.055830409475,532,"2024-07-26",11204
"4","Plutôt à gauche","Sentiment positif (joie, espoir ou soulagement)",58.1128269213427,2605.23597456279,2715,"2024-07-26",11204
"5","Plutôt à gauche","Indifférence",9.17459858274957,2605.23597456279,2715,"2024-07-26",11204
"6","Plutôt à gauche","Sentiment négatif (déception, colère ou peur)",32.7125744959078,2605.23597456279,2715,"2024-07-26",11204
"7","Au centre","Sentiment positif (joie, espoir ou soulagement)",30.6168602681751,1827.76855908934,1800,"2024-07-26",11204
"8","Au centre","Indifférence",17.8282030144099,1827.76855908934,1800,"2024-07-26",11204
"9","Au centre","Sentiment négatif (déception, colère ou peur)",51.5549367174149,1827.76855908934,1800,"2024-07-26",11204
"10","Plutôt à droite","Sentiment positif (joie, espoir ou soulagement)",20.2210601138251,3569.07988535992,3749,"2024-07-26",11204
"11","Plutôt à droite","Indifférence",10.7258357434463,3569.07988535992,3749,"2024-07-26",11204
"12","Plutôt à droite","Sentiment négatif (déception, colère ou peur)",69.0531041427286,3569.07988535992,3749,"2024-07-26",11204
"13","Très à droite","Sentiment positif (joie, espoir ou soulagement)",12.1736809642473,1445.63781967302,1364,"2024-07-26",11204
"14","Très à droite","Indifférence",3.83998706315322,1445.63781967302,1364,"2024-07-26",11204
"15","Très à droite","Sentiment négatif (déception, colère ou peur)",83.9863319725995,1445.63781967302,1364,"2024-07-26",11204
