"","Y7REG13ST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",56.8765252358086,1891.61552060154,1881,"2024-07-26",11204
"2","Ile de France","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",43.1234747641914,1891.61552060154,1881,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",51.1818885401633,2507.28523181343,2535,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",48.8181114598367,2507.28523181343,2535,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",57.5410383410767,2330.59072417387,2394,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",42.4589616589233,2330.59072417387,2394,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",54.3968799617412,2137.84158566529,2147,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",45.6031200382588,2137.84158566529,2147,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",53.9125221043166,2328.18823500971,2238,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",46.0874778956834,2328.18823500971,2238,"2024-07-26",11204
