"","Y7REL1ST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Favorable",47.597988328357,5433.02380432434,5711,"2024-07-26",11204
"2","Catholique","Pas favorable",52.402011671643,5433.02380432434,5711,"2024-07-26",11204
"3","Juive","Favorable",49.3295200622375,73.6740140695289,76,"2024-07-26",11204
"4","Juive","Pas favorable",50.6704799377625,73.6740140695289,76,"2024-07-26",11204
"5","Musulmane","Favorable",68.6336835431567,300.303699963467,227,"2024-07-26",11204
"6","Musulmane","Pas favorable",31.3663164568433,300.303699963467,227,"2024-07-26",11204
"7","Autre religion (protestante, boudhiste ou autre)","Favorable",62.6332106803062,473.930893404386,431,"2024-07-26",11204
"8","Autre religion (protestante, boudhiste ou autre)","Pas favorable",37.3667893196938,473.930893404386,431,"2024-07-26",11204
"9","Sans religion","Favorable",52.9429621391137,4786.45293944547,4654,"2024-07-26",11204
"10","Sans religion","Pas favorable",47.0570378608863,4786.45293944547,4654,"2024-07-26",11204
