"","PL3ST_1","pct","n","VAGUE","TAILLEECH"
"1","Vous partagez les propositions du Rassemblement national sur l’immigration",12.6,1411.5,"2024-07-26",11204
"2","Non réponse",87.4,9792.5,"2024-07-26",11204
