"","Y1INTPOLST","Y1CERTST","pct","n","unweighted_n"
"1","Oui","1",7.89716023554304,7225.14009307298,7443
"2","Oui","2",48.03835399479,7225.14009307298,7443
"3","Oui","3",44.0644857696669,7225.14009307298,7443
"4","Non","1",28.6344893117723,3405.85990692701,3188
"5","Non","2",50.3439737727779,3405.85990692701,3188
"6","Non","3",21.0215369154498,3405.85990692701,3188
