"","Y7PCSIST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Confiance",34.7853730247056,514.219889154555,327,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Pas confiance",65.2146269752944,514.219889154555,327,"2024-07-26",11204
"3","Cadre supérieur","Confiance",31.8983203730779,1205.60160217321,1685,"2024-07-26",11204
"4","Cadre supérieur","Pas confiance",68.1016796269221,1205.60160217321,1685,"2024-07-26",11204
"5","Profession intermédiaire","Confiance",25.2938274169947,1766.97208674363,1553,"2024-07-26",11204
"6","Profession intermédiaire","Pas confiance",74.7061725830052,1766.97208674363,1553,"2024-07-26",11204
"7","Employé","Confiance",27.9660545342393,1867.6739200261,1830,"2024-07-26",11204
"8","Employé","Pas confiance",72.0339454657607,1867.6739200261,1830,"2024-07-26",11204
"9","Ouvrier","Confiance",23.3996924312856,1334.46893188754,996,"2024-07-26",11204
"10","Ouvrier","Pas confiance",76.6003075687144,1334.46893188754,996,"2024-07-26",11204
"11","Retraité, inactif","Confiance",25.7736054251892,4508.67396289782,4808,"2024-07-26",11204
"12","Retraité, inactif","Pas confiance",74.2263945748108,4508.67396289782,4808,"2024-07-26",11204
