"","Y7EDUST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Sentiment positif (joie, espoir ou soulagement)",24.9658394398901,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Indifférence",13.6229913672401,416.435741483539,371,"2024-07-26",11204
"3","Aucun diplôme","Sentiment négatif (déception, colère ou peur)",61.4111691928698,416.435741483539,371,"2024-07-26",11204
"4","CAP, BEP","Sentiment positif (joie, espoir ou soulagement)",23.2385437978795,2058.72753384448,1928,"2024-07-26",11204
"5","CAP, BEP","Indifférence",11.9969122299851,2058.72753384448,1928,"2024-07-26",11204
"6","CAP, BEP","Sentiment négatif (déception, colère ou peur)",64.7645439721354,2058.72753384448,1928,"2024-07-26",11204
"7","Baccalauréat","Sentiment positif (joie, espoir ou soulagement)",31.3129029519629,2726.87094317154,2524,"2024-07-26",11204
"8","Baccalauréat","Indifférence",11.8769986090902,2726.87094317154,2524,"2024-07-26",11204
"9","Baccalauréat","Sentiment négatif (déception, colère ou peur)",56.8100984389469,2726.87094317154,2524,"2024-07-26",11204
"10","Bac +2","Sentiment positif (joie, espoir ou soulagement)",30.7119821036251,2370.604336229,2485,"2024-07-26",11204
"11","Bac +2","Indifférence",12.6182825941529,2370.604336229,2485,"2024-07-26",11204
"12","Bac +2","Sentiment négatif (déception, colère ou peur)",56.669735302222,2370.604336229,2485,"2024-07-26",11204
"13","Bac +3 et plus","Sentiment positif (joie, espoir ou soulagement)",38.9417315544611,3631.36144527142,3896,"2024-07-26",11204
"14","Bac +3 et plus","Indifférence",11.8527915679723,3631.36144527142,3896,"2024-07-26",11204
"15","Bac +3 et plus","Sentiment négatif (déception, colère ou peur)",49.2054768775667,3631.36144527142,3896,"2024-07-26",11204
