"","Y1ECO2ST2","Y1CERTST","pct","n","unweighted_n"
"1","Moins de 2 000 euros","1",18.5613402927945,2956.01588349088,2586
"2","Moins de 2 000 euros","2",49.0924621550766,2956.01588349088,2586
"3","Moins de 2 000 euros","3",32.346197552129,2956.01588349088,2586
"4","De 2 000 à 4 999 euros","1",12.399422151394,5872.16738680669,6047
"5","De 2 000 à 4 999 euros","2",49.2835838396704,5872.16738680669,6047
"6","De 2 000 à 4 999 euros","3",38.3169940089356,5872.16738680669,6047
"7","5 000 euros et plus","1",9.05365366555342,822.342433810111,1011
"8","5 000 euros et plus","2",44.9860619410871,822.342433810111,1011
"9","5 000 euros et plus","3",45.9602843933594,822.342433810111,1011
