"","PL3ST_0","pct","n","VAGUE","TAILLEECH"
"1","Vous souhaitiez que Jordan Bardella devienne Premier ministre",8.5,952.2,"2024-07-26",11204
"2","Non réponse",91.5,10251.8,"2024-07-26",11204
