"","Y7REG13ST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Des conséquences négatives",15.1994893649486,1893.47402019953,1884,"2024-07-26",11204
"2","Ile de France","Des conséquences positives",66.3581381827509,1893.47402019953,1884,"2024-07-26",11204
"3","Ile de France","Des conséquences ni positives, ni négatives",18.4423724523005,1893.47402019953,1884,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Des conséquences négatives",11.7144889780226,2506.78317794929,2536,"2024-07-26",11204
"5","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Des conséquences positives",65.5053401803851,2506.78317794929,2536,"2024-07-26",11204
"6","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Des conséquences ni positives, ni négatives",22.7801708415923,2506.78317794929,2536,"2024-07-26",11204
"7","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Des conséquences négatives",10.7566693790958,2331.55764634939,2395,"2024-07-26",11204
"8","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Des conséquences positives",66.4076769431497,2331.55764634939,2395,"2024-07-26",11204
"9","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Des conséquences ni positives, ni négatives",22.8356536777545,2331.55764634939,2395,"2024-07-26",11204
"10","Sud ouest (Nouvelle Aquitaine et Occitanie)","Des conséquences négatives",12.1065871943458,2139.88852667564,2149,"2024-07-26",11204
"11","Sud ouest (Nouvelle Aquitaine et Occitanie)","Des conséquences positives",68.3186920013201,2139.88852667564,2149,"2024-07-26",11204
"12","Sud ouest (Nouvelle Aquitaine et Occitanie)","Des conséquences ni positives, ni négatives",19.5747208043341,2139.88852667564,2149,"2024-07-26",11204
"13","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Des conséquences négatives",11.3534633869908,2327.57293695003,2237,"2024-07-26",11204
"14","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Des conséquences positives",68.8923994523382,2327.57293695003,2237,"2024-07-26",11204
"15","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Des conséquences ni positives, ni négatives",19.754137160671,2327.57293695003,2237,"2024-07-26",11204
