"","Y7Q7ST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Des conséquences négatives",22.2536757247305,622.440532349793,531,"2024-07-26",11204
"2","Très à gauche","Des conséquences positives",53.0496077730561,622.440532349793,531,"2024-07-26",11204
"3","Très à gauche","Des conséquences ni positives, ni négatives",24.6967165022134,622.440532349793,531,"2024-07-26",11204
"4","Plutôt à gauche","Des conséquences négatives",14.2223783831987,2603.43636331773,2714,"2024-07-26",11204
"5","Plutôt à gauche","Des conséquences positives",66.1006809318048,2603.43636331773,2714,"2024-07-26",11204
"6","Plutôt à gauche","Des conséquences ni positives, ni négatives",19.6769406849964,2603.43636331773,2714,"2024-07-26",11204
"7","Au centre","Des conséquences négatives",11.9711410971143,1827.76855908934,1800,"2024-07-26",11204
"8","Au centre","Des conséquences positives",64.0444854415205,1827.76855908934,1800,"2024-07-26",11204
"9","Au centre","Des conséquences ni positives, ni négatives",23.9843734613652,1827.76855908934,1800,"2024-07-26",11204
"10","Plutôt à droite","Des conséquences négatives",10.9142149178222,3569.07988535992,3749,"2024-07-26",11204
"11","Plutôt à droite","Des conséquences positives",70.9296763254049,3569.07988535992,3749,"2024-07-26",11204
"12","Plutôt à droite","Des conséquences ni positives, ni négatives",18.1561087567729,3569.07988535992,3749,"2024-07-26",11204
"13","Très à droite","Des conséquences négatives",11.3810610799397,1445.63781967302,1364,"2024-07-26",11204
"14","Très à droite","Des conséquences positives",74.1537487377046,1445.63781967302,1364,"2024-07-26",11204
"15","Très à droite","Des conséquences ni positives, ni négatives",14.4651901823557,1445.63781967302,1364,"2024-07-26",11204
