"","DISS3ST","pct","n","VAGUE","TAILLEECH"
"1","Audacieuse ou courageuse",41.4,990.9,"2024-06-21",11820
"2","Dangereuse ou irresponsable",58.6,1400.2,"2024-06-21",11820
