"","Y7PCSIST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Souvent",36.7240596945943,516.528671725919,328,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Rarement ou jamais",63.2759403054057,516.528671725919,328,"2024-07-26",11204
"3","Cadre supérieur","Souvent",31.8115082288259,1206.74578798005,1686,"2024-07-26",11204
"4","Cadre supérieur","Rarement ou jamais",68.1884917711741,1206.74578798005,1686,"2024-07-26",11204
"5","Profession intermédiaire","Souvent",25.5006948096914,1766.97208674363,1553,"2024-07-26",11204
"6","Profession intermédiaire","Rarement ou jamais",74.4993051903085,1766.97208674363,1553,"2024-07-26",11204
"7","Employé","Souvent",28.4273013751473,1868.9437374952,1831,"2024-07-26",11204
"8","Employé","Rarement ou jamais",71.5726986248527,1868.9437374952,1831,"2024-07-26",11204
"9","Ouvrier","Souvent",28.0149855928449,1334.46893188754,996,"2024-07-26",11204
"10","Ouvrier","Rarement ou jamais",71.9850144071551,1334.46893188754,996,"2024-07-26",11204
"11","Retraité, inactif","Souvent",21.1896787947748,4510.34078416765,4810,"2024-07-26",11204
"12","Retraité, inactif","Rarement ou jamais",78.8103212052252,4510.34078416765,4810,"2024-07-26",11204
