"","Y7INTPOLST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Beaucoup","Sentiment positif (joie, espoir ou soulagement)",36.2858478740519,3283.67917399609,3498,"2024-07-26",11204
"2","Beaucoup","Indifférence",5.77752397347548,3283.67917399609,3498,"2024-07-26",11204
"3","Beaucoup","Sentiment négatif (déception, colère ou peur)",57.9366281524726,3283.67917399609,3498,"2024-07-26",11204
"4","Un peu","Sentiment positif (joie, espoir ou soulagement)",33.3815366137412,5091.86136064794,5089,"2024-07-26",11204
"5","Un peu","Indifférence",9.4778978558985,5091.86136064794,5089,"2024-07-26",11204
"6","Un peu","Sentiment négatif (déception, colère ou peur)",57.1405655303603,5091.86136064794,5089,"2024-07-26",11204
"7","Pas vraiment","Sentiment positif (joie, espoir ou soulagement)",27.3827139654094,2026.93113744461,1895,"2024-07-26",11204
"8","Pas vraiment","Indifférence",20.268519851348,2026.93113744461,1895,"2024-07-26",11204
"9","Pas vraiment","Sentiment négatif (déception, colère ou peur)",52.3487661832426,2026.93113744461,1895,"2024-07-26",11204
"10","Pas du tout","Sentiment positif (joie, espoir ou soulagement)",16.5131848633252,800.214415565335,721,"2024-07-26",11204
"11","Pas du tout","Indifférence",34.2391622052039,800.214415565335,721,"2024-07-26",11204
"12","Pas du tout","Sentiment négatif (déception, colère ou peur)",49.2476529314708,800.214415565335,721,"2024-07-26",11204
