"","Y7ECO2ST2","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Sentiment positif (joie, espoir ou soulagement)",36.9637778892753,970.610167077917,808,"2024-07-26",11204
"2","Moins de 1 250 euros","Indifférence",14.4267119125277,970.610167077917,808,"2024-07-26",11204
"3","Moins de 1 250 euros","Sentiment négatif (déception, colère ou peur)",48.609510198197,970.610167077917,808,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Sentiment positif (joie, espoir ou soulagement)",32.621863122398,2129.20895060799,1927,"2024-07-26",11204
"5","De 1 250 euros à 1 999 euros","Indifférence",13.6889518267645,2129.20895060799,1927,"2024-07-26",11204
"6","De 1 250 euros à 1 999 euros","Sentiment négatif (déception, colère ou peur)",53.6891850508375,2129.20895060799,1927,"2024-07-26",11204
"7","De 2 000 à 3 499 euros","Sentiment positif (joie, espoir ou soulagement)",30.8214329664989,4084.02765767112,4070,"2024-07-26",11204
"8","De 2 000 à 3 499 euros","Indifférence",11.4538665887882,4084.02765767112,4070,"2024-07-26",11204
"9","De 2 000 à 3 499 euros","Sentiment négatif (déception, colère ou peur)",57.7247004447128,4084.02765767112,4070,"2024-07-26",11204
"10","De 3 500 à 4 999 euros","Sentiment positif (joie, espoir ou soulagement)",31.2363536267695,2173.94856552127,2358,"2024-07-26",11204
"11","De 3 500 à 4 999 euros","Indifférence",11.4137170743827,2173.94856552127,2358,"2024-07-26",11204
"12","De 3 500 à 4 999 euros","Sentiment négatif (déception, colère ou peur)",57.3499292988478,2173.94856552127,2358,"2024-07-26",11204
"13","5 000 euros et plus","Sentiment positif (joie, espoir ou soulagement)",36.6687350658255,929.359109049184,1120,"2024-07-26",11204
"14","5 000 euros et plus","Indifférence",8.26626256932296,929.359109049184,1120,"2024-07-26",11204
"15","5 000 euros et plus","Sentiment négatif (déception, colère ou peur)",55.0650023648515,929.359109049184,1120,"2024-07-26",11204
