"","Y7REG13ST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Favorable",51.706137507088,1892.97154066802,1883,"2024-07-26",11204
"2","Ile de France","Pas favorable",48.293862492912,1892.97154066802,1883,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Favorable",51.882156021879,2506.78317794929,2536,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Pas favorable",48.117843978121,2506.78317794929,2536,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Favorable",47.0876862592091,2329.40699113541,2393,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Pas favorable",52.9123137407909,2329.40699113541,2393,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Favorable",54.8250988787102,2139.88852667564,2149,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Pas favorable",45.1749011212898,2139.88852667564,2149,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Favorable",50.778494390927,2328.18823500971,2238,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Pas favorable",49.221505609073,2328.18823500971,2238,"2024-07-26",11204
