"","ENJEURST_0","pct","n","VAGUE","TAILLEECH"
"1","Le chômage",31.7,2396.7,"2024-06-21",11820
"2","Système scolaire et éducation",29.9,2260.8,"2024-06-21",11820
"3","La sécurité des biens et des personnes",24.8,1873.2,"2024-06-21",11820
"4","Le montant des déficits publics",13.6,1028.8,"2024-06-21",11820
