"","Y7SEXEST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","Confiance",26.5323863395321,5341.97775870748,5640,"2024-07-26",11204
"2","Homme","Pas confiance",73.4676136604679,5341.97775870748,5640,"2024-07-26",11204
"3","Femme","Confiance",27.147277334065,5855.63263417537,5559,"2024-07-26",11204
"4","Femme","Pas confiance",72.852722665935,5855.63263417537,5559,"2024-07-26",11204
