"","Y7ECO2ST2","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Des conséquences négatives",14.4776744446627,970.610167077917,808,"2024-07-26",11204
"2","Moins de 1 250 euros","Des conséquences positives",62.4972917438477,970.610167077917,808,"2024-07-26",11204
"3","Moins de 1 250 euros","Des conséquences ni positives, ni négatives",23.0250338114896,970.610167077917,808,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Des conséquences négatives",13.6231716085176,2128.5936525483,1926,"2024-07-26",11204
"5","De 1 250 euros à 1 999 euros","Des conséquences positives",64.0001963072182,2128.5936525483,1926,"2024-07-26",11204
"6","De 1 250 euros à 1 999 euros","Des conséquences ni positives, ni négatives",22.3766320842643,2128.5936525483,1926,"2024-07-26",11204
"7","De 2 000 à 3 499 euros","Des conséquences négatives",11.6605524180223,4084.02765767112,4070,"2024-07-26",11204
"8","De 2 000 à 3 499 euros","Des conséquences positives",68.5673593812629,4084.02765767112,4070,"2024-07-26",11204
"9","De 2 000 à 3 499 euros","Des conséquences ni positives, ni négatives",19.7720882007149,4084.02765767112,4070,"2024-07-26",11204
"10","De 3 500 à 4 999 euros","Des conséquences négatives",12.5243532076888,3103.30767457045,3478,"2024-07-26",11204
"11","De 3 500 à 4 999 euros","Des conséquences positives",68.2371249723128,3103.30767457045,3478,"2024-07-26",11204
"12","De 3 500 à 4 999 euros","Des conséquences ni positives, ni négatives",19.2385218199984,3103.30767457045,3478,"2024-07-26",11204
