"","PL20ST","pct","n","VAGUE","TAILLEECH"
"1","A l’attitude de la France Insoumise",42.8,4795.2,"2024-07-26",11204
"2","A l’attitude du Parti socialiste",5.5,621,"2024-07-26",11204
"3","Les deux partis sont responsables à parts égales de la situation",51.6,5784.7,"2024-07-26",11204
