"","Y7AGERST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Des conséquences négatives",19.6862142610568,1241.30543925657,671,"2024-07-26",11204
"2","18 à 24 ans","Des conséquences positives",59.52587555352,1241.30543925657,671,"2024-07-26",11204
"3","18 à 24 ans","Des conséquences ni positives, ni négatives",20.7879101854231,1241.30543925657,671,"2024-07-26",11204
"4","25 à 34 ans","Des conséquences négatives",19.4694458374229,1640.08159120537,1369,"2024-07-26",11204
"5","25 à 34 ans","Des conséquences positives",56.7854336687605,1640.08159120537,1369,"2024-07-26",11204
"6","25 à 34 ans","Des conséquences ni positives, ni négatives",23.7451204938166,1640.08159120537,1369,"2024-07-26",11204
"7","35 à 49 ans","Des conséquences négatives",11.0795553503204,2515.56992851222,2359,"2024-07-26",11204
"8","35 à 49 ans","Des conséquences positives",64.9691870058479,2515.56992851222,2359,"2024-07-26",11204
"9","35 à 49 ans","Des conséquences ni positives, ni négatives",23.9512576438317,2515.56992851222,2359,"2024-07-26",11204
"10","50 à 59 ans","Des conséquences négatives",10.2209594068794,1845.19217397194,1978,"2024-07-26",11204
"11","50 à 59 ans","Des conséquences positives",69.2066853878677,1845.19217397194,1978,"2024-07-26",11204
"12","50 à 59 ans","Des conséquences ni positives, ni négatives",20.5723552052529,1845.19217397194,1978,"2024-07-26",11204
"13","60 ans et plus","Des conséquences négatives",8.2026585148268,3957.12717517778,4824,"2024-07-26",11204
"14","60 ans et plus","Des conséquences positives",74.0633733258451,3957.12717517778,4824,"2024-07-26",11204
"15","60 ans et plus","Des conséquences ni positives, ni négatives",17.7339681593281,3957.12717517778,4824,"2024-07-26",11204
