"","Y7AGERST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Souvent",48.0969504106123,1241.30543925657,671,"2024-07-26",11204
"2","18 à 24 ans","Rarement ou jamais",51.9030495893877,1241.30543925657,671,"2024-07-26",11204
"3","25 à 34 ans","Souvent",38.4668600442325,1642.39037377673,1370,"2024-07-26",11204
"4","25 à 34 ans","Rarement ou jamais",61.5331399557675,1642.39037377673,1370,"2024-07-26",11204
"5","35 à 49 ans","Souvent",25.638121631726,2517.36953975728,2360,"2024-07-26",11204
"6","35 à 49 ans","Rarement ou jamais",74.361878368274,2517.36953975728,2360,"2024-07-26",11204
"7","50 à 59 ans","Souvent",19.9301058826729,1845.19217397194,1978,"2024-07-26",11204
"8","50 à 59 ans","Rarement ou jamais",80.0698941173271,1845.19217397194,1978,"2024-07-26",11204
"9","60 ans et plus","Souvent",16.2484467573462,3957.74247323746,4825,"2024-07-26",11204
"10","60 ans et plus","Rarement ou jamais",83.7515532426538,3957.74247323746,4825,"2024-07-26",11204
