"","DISS3ST","pct","n","VAGUE","TAILLEECH"
"1","Audacieuse ou courageuse",34.7,3265,"2024-06-21",11820
"2","Dangereuse ou irresponsable",65.3,6150.7,"2024-06-21",11820
