"","Y7PCSIST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Favorable",58.967826622017,514.219889154555,327,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Pas favorable",41.032173377983,514.219889154555,327,"2024-07-26",11204
"3","Cadre supérieur","Favorable",44.3135382790937,1206.74578798005,1686,"2024-07-26",11204
"4","Cadre supérieur","Pas favorable",55.6864617209063,1206.74578798005,1686,"2024-07-26",11204
"5","Profession intermédiaire","Favorable",49.9201530994196,1766.97208674363,1553,"2024-07-26",11204
"6","Profession intermédiaire","Pas favorable",50.0798469005804,1766.97208674363,1553,"2024-07-26",11204
"7","Employé","Favorable",58.9961143043388,1867.69665859501,1829,"2024-07-26",11204
"8","Employé","Pas favorable",41.0038856956612,1867.69665859501,1829,"2024-07-26",11204
"9","Ouvrier","Favorable",66.0859393495519,1334.46893188754,996,"2024-07-26",11204
"10","Ouvrier","Pas favorable",33.9140606504481,1334.46893188754,996,"2024-07-26",11204
"11","Retraité, inactif","Favorable",44.9912939915497,4507.1351170773,4808,"2024-07-26",11204
"12","Retraité, inactif","Pas favorable",55.0087060084503,4507.1351170773,4808,"2024-07-26",11204
