"","PL14ST_0","pct","n","VAGUE","TAILLEECH"
"1","Renforcé",41.2,4321.4,"2024-07-26",11204
"2","Affaibli",41.4,4339.9,"2024-07-26",11204
"3","Ni renforcé, ni affaibli",17.4,1825.3,"2024-07-26",11204
