"","Q7ST","CERTST3","pct","n","unweighted_n","VAGUE"
"1","Très à gauche","3",53.6514213564801,641.025213111269,583,"2023-06-16"
"2","Plutôt à gauche","3",47.1926554081106,2727.99135978004,2761,"2023-06-16"
"3","Au centre","3",42.1800919926689,1761.10430100147,1795,"2023-06-16"
"4","Plutôt à droite","3",48.2535479439673,3066.22514316982,3232,"2023-06-16"
"5","Très à droite","3",64.3546075081204,1169.00438112173,1104,"2023-06-16"
"6","Très à gauche","3",51.324146404453,649.034785936974,596,"2023-11-29"
"7","Plutôt à gauche","3",43.5709163217414,2932.2496175005,2965,"2023-11-29"
"8","Au centre","3",35.956835854713,1999.68096650287,1984,"2023-11-29"
"9","Plutôt à droite","3",47.2128721904258,3323.24458099598,3555,"2023-11-29"
"10","Très à droite","3",65.0989561837942,1312.11038259055,1294,"2023-11-29"
"11","Très à gauche","3",62.50944291015,661.517368465542,585,"2024-03-01"
"12","Plutôt à gauche","3",56.2916920634736,3024.02449209627,3059,"2024-03-01"
"13","Au centre","3",52.6521992129254,2016.21927852895,2018,"2024-03-01"
"14","Plutôt à droite","3",59.1987079821847,3378.5596341874,3587,"2024-03-01"
"15","Très à droite","3",76.6120358097053,1337.37752494593,1265,"2024-03-01"
"16","Très à gauche","3",63.8424472408244,686.668052807387,621,"2024-04-19"
"17","Plutôt à gauche","3",57.989699318371,2731.23135410219,2741,"2024-04-19"
"18","Au centre","3",52.7216673268598,1760.32414067661,1734,"2024-04-19"
"19","Plutôt à droite","3",60.3625317471744,2956.4079141903,3132,"2024-04-19"
"20","Très à droite","3",75.8580696184348,1338.05576582006,1306,"2024-04-19"
"21","Très à gauche","3",67.2831215731323,700.11109769137,628,"2024-05-27"
"22","Plutôt à gauche","3",61.7196655401923,2913.19498587245,2951,"2024-05-27"
"23","Au centre","3",55.6563949668368,1762.0658295618,1753,"2024-05-27"
"24","Plutôt à droite","3",63.6574080870675,3401.22258175356,3596,"2024-05-27"
"25","Très à droite","3",80.7207962505996,1317.13091373496,1278,"2024-05-27"
