"","Y2INTPOLST","Y2CERTST","pct","n","unweighted_n"
"1","Oui","1",7.1046972229305,7782.49841911285,8206
"2","Oui","2",50.8683515900648,7782.49841911285,8206
"3","Oui","3",42.0269511870047,7782.49841911285,8206
"4","Non","1",30.0078317672071,3908.50158088708,3485
"5","Non","2",53.8037601627442,3908.50158088708,3485
"6","Non","3",16.1884080700487,3908.50158088708,3485
