"","PL3ST_3","pct","n","VAGUE","TAILLEECH"
"1","Vous vouliez exprimer votre colère vis-à-vis du gouvernement et du Président de la République",6.8,758.4,"2024-07-26",11204
"2","Non réponse",93.2,10445.6,"2024-07-26",11204
