"","PL1ST","pct","n","VAGUE","TAILLEECH"
"1","Pas de regret",77.4,7511.5,"2024-07-26",11204
"2","Regrette moyennement",12.4,1205.3,"2024-07-26",11204
"3","Un fort regret",10.2,984.8,"2024-07-26",11204
