"","Y7AGERST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Confiance",42.2592887056412,1241.30543925657,671,"2024-07-26",11204
"2","18 à 24 ans","Pas confiance",57.7407112943589,1241.30543925657,671,"2024-07-26",11204
"3","25 à 34 ans","Confiance",37.2413161735246,1638.89732981185,1368,"2024-07-26",11204
"4","25 à 34 ans","Pas confiance",62.7586838264754,1638.89732981185,1368,"2024-07-26",11204
"5","35 à 49 ans","Confiance",25.7788255975853,2516.22535395044,2359,"2024-07-26",11204
"6","35 à 49 ans","Pas confiance",74.2211744024147,2516.22535395044,2359,"2024-07-26",11204
"7","50 à 59 ans","Confiance",20.7405930942133,1843.92235650284,1977,"2024-07-26",11204
"8","50 à 59 ans","Pas confiance",79.2594069057867,1843.92235650284,1977,"2024-07-26",11204
"9","60 ans et plus","Confiance",21.2518627071909,3957.25991336115,4824,"2024-07-26",11204
"10","60 ans et plus","Pas confiance",78.7481372928091,3957.25991336115,4824,"2024-07-26",11204
