"","DISS2ST","pct","n","VAGUE","TAILLEECH"
"1","Sentiment positif",34.4,3236.1,"2024-06-21",11820
"2","Indifférence",8,757.6,"2024-06-21",11820
"3","Sentiment négatif",57.6,5424.9,"2024-06-21",11820
