"","DISS2ST","pct","n","VAGUE","TAILLEECH"
"1","Sentiment positif",33.6,3969.1,"2024-06-21",11820
"2","Indifférence",10.3,1222.3,"2024-06-21",11820
"3","Sentiment négatif",56.1,6623.8,"2024-06-21",11820
