"","PL17ST","pct","n","VAGUE","TAILLEECH"
"1","Plutôt une bonne chose",35.4,3958.3,"2024-07-26",11204
"2","Plutôt une mauvaise chose",64.6,7233.7,"2024-07-26",11204
