"","Y7REG13ST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Souvent",30.4774926948096,1893.47402019953,1884,"2024-07-26",11204
"2","Ile de France","Rarement ou jamais",69.5225073051904,1893.47402019953,1884,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Souvent",24.7210571619576,2508.58278919435,2537,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Rarement ou jamais",75.2789428380424,2508.58278919435,2537,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Souvent",22.5673075965314,2331.55764634939,2395,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Rarement ou jamais",77.4326924034686,2331.55764634939,2395,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Souvent",24.5999789745519,2142.197309247,2150,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Rarement ou jamais",75.4000210254481,2142.197309247,2150,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Souvent",27.2594496701524,2328.18823500971,2238,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Rarement ou jamais",72.7405503298476,2328.18823500971,2238,"2024-07-26",11204
