"","Y7EDUST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Favorable",53.8026834293986,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Pas favorable",46.1973165706014,416.435741483539,371,"2024-07-26",11204
"3","CAP, BEP","Favorable",55.8486022333832,2058.72753384448,1928,"2024-07-26",11204
"4","CAP, BEP","Pas favorable",44.1513977666168,2058.72753384448,1928,"2024-07-26",11204
"5","Baccalauréat","Favorable",55.559446109753,2724.96240779474,2522,"2024-07-26",11204
"6","Baccalauréat","Pas favorable",44.440553890247,2724.96240779474,2522,"2024-07-26",11204
"7","Bac +2","Favorable",49.0911720788671,2367.55095428896,2483,"2024-07-26",11204
"8","Bac +2","Pas favorable",50.9088279211329,2367.55095428896,2483,"2024-07-26",11204
"9","Bac +3 et plus","Favorable",46.330047654076,3629.56183402636,3895,"2024-07-26",11204
"10","Bac +3 et plus","Pas favorable",53.669952345924,3629.56183402636,3895,"2024-07-26",11204
