"","Y7EMPST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Salarié (salarié à plein temps ou à temps partiel)","Sentiment positif (joie, espoir ou soulagement)",31.6107970235983,5786.60335863901,5608,"2024-07-26",11204
"2","Salarié (salarié à plein temps ou à temps partiel)","Indifférence",13.9779257542371,5786.60335863901,5608,"2024-07-26",11204
"3","Salarié (salarié à plein temps ou à temps partiel)","Sentiment négatif (déception, colère ou peur)",54.4112772221646,5786.60335863901,5608,"2024-07-26",11204
"4","Indépendant (travaille à mon compte)","Sentiment positif (joie, espoir ou soulagement)",33.8161082437014,473.705708028246,399,"2024-07-26",11204
"5","Indépendant (travaille à mon compte)","Indifférence",11.4862707034494,473.705708028246,399,"2024-07-26",11204
"6","Indépendant (travaille à mon compte)","Sentiment négatif (déception, colère ou peur)",54.6976210528493,473.705708028246,399,"2024-07-26",11204
"7","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Sentiment positif (joie, espoir ou soulagement)",32.1428216234906,4943.69093333273,5197,"2024-07-26",11204
"8","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Indifférence",9.98998900724705,4943.69093333273,5197,"2024-07-26",11204
"9","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Sentiment négatif (déception, colère ou peur)",57.8671893692623,4943.69093333273,5197,"2024-07-26",11204
