"","Y7PROXST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Sentiment positif (joie, espoir ou soulagement)",68.2164045395082,1246.93617278597,1011,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Indifférence",7.04906504912968,1246.93617278597,1011,"2024-07-26",11204
"3","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Sentiment négatif (déception, colère ou peur)",24.7345304113621,1246.93617278597,1011,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Sentiment positif (joie, espoir ou soulagement)",58.1426847129658,1694.67415386332,1881,"2024-07-26",11204
"5","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Indifférence",9.36354160500633,1694.67415386332,1881,"2024-07-26",11204
"6","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Sentiment négatif (déception, colère ou peur)",32.4937736820279,1694.67415386332,1881,"2024-07-26",11204
"7","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Sentiment positif (joie, espoir ou soulagement)",39.4323357427832,1529.79064715371,1667,"2024-07-26",11204
"8","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Indifférence",7.8975975734542,1529.79064715371,1667,"2024-07-26",11204
"9","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Sentiment négatif (déception, colère ou peur)",52.6700666837626,1529.79064715371,1667,"2024-07-26",11204
"10","Droite (Les Républicains)","Sentiment positif (joie, espoir ou soulagement)",14.6178009313704,769.550724279786,904,"2024-07-26",11204
"11","Droite (Les Républicains)","Indifférence",11.2631671647878,769.550724279786,904,"2024-07-26",11204
"12","Droite (Les Républicains)","Sentiment négatif (déception, colère ou peur)",74.1190319038419,769.550724279786,904,"2024-07-26",11204
"13","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Sentiment positif (joie, espoir ou soulagement)",9.02813621759747,2786.02103028976,2663,"2024-07-26",11204
"14","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Indifférence",4.62211077298393,2786.02103028976,2663,"2024-07-26",11204
"15","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Sentiment négatif (déception, colère ou peur)",86.3497530094186,2786.02103028976,2663,"2024-07-26",11204
"16","Autre parti ou aucun parti","Sentiment positif (joie, espoir ou soulagement)",24.3559003696769,3175.13021204268,3077,"2024-07-26",11204
"17","Autre parti ou aucun parti","Indifférence",24.3860263075928,3175.13021204268,3077,"2024-07-26",11204
"18","Autre parti ou aucun parti","Sentiment négatif (déception, colère ou peur)",51.2580733227303,3175.13021204268,3077,"2024-07-26",11204
