"","Y4PCSIST","Y4CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",10.2203047209248,491.036476984955,326
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",58.0833065285984,491.036476984955,326
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",31.6963887504769,491.036476984955,326
"4","Cadre supérieur","1",8.0383103290293,1147.18276360461,1496
"5","Cadre supérieur","2",46.9697200906613,1147.18276360461,1496
"6","Cadre supérieur","3",44.9919695803094,1147.18276360461,1496
"7","Profession intermédiaire","1",10.7096358496814,1679.76112921358,1507
"8","Profession intermédiaire","2",48.524344015955,1679.76112921358,1507
"9","Profession intermédiaire","3",40.7660201343636,1679.76112921358,1507
"10","Employé","1",13.8275420483453,1776.70160350491,1815
"11","Employé","2",49.643750574025,1776.70160350491,1815
"12","Employé","3",36.5287073776297,1776.70160350491,1815
"13","Ouvrier","1",13.239648149157,1268.60741062395,1165
"14","Ouvrier","2",49.4332652617081,1268.60741062395,1165
"15","Ouvrier","3",37.3270865891348,1268.60741062395,1165
"16","Retraité, inactif","1",7.62344617097374,4287.71061606797,4342
"17","Retraité, inactif","2",38.660297829385,4287.71061606797,4342
"18","Retraité, inactif","3",53.7162559996412,4287.71061606797,4342
