"","EUMOTPRST","pct","n","VAGUE","TAILLEECH"
"1","Avant tout pour manifester votre soutien au président de la République et au Gouvernement",10.5,1245.2,"2024-06-21",11820
"2","Avant tout pour manifester votre opposition au président de la République et au Gouvernement",31.8,3762.2,"2024-06-21",11820
"3","Ni l’un, ni l’autre",37.3,4412.8,"2024-06-21",11820
"4","Non réponse",20.3,2399.8,"2024-06-21",11820
