"","Y7Q7ST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Confiance",54.4432914129905,623.055830409475,532,"2024-07-26",11204
"2","Très à gauche","Pas confiance",45.5567085870095,623.055830409475,532,"2024-07-26",11204
"3","Plutôt à gauche","Confiance",42.9996387482386,2604.05171316926,2714,"2024-07-26",11204
"4","Plutôt à gauche","Pas confiance",57.0003612517614,2604.05171316926,2714,"2024-07-26",11204
"5","Au centre","Confiance",25.9596282607329,1826.49874162024,1799,"2024-07-26",11204
"6","Au centre","Pas confiance",74.0403717392671,1826.49874162024,1799,"2024-07-26",11204
"7","Plutôt à droite","Confiance",19.6171879578466,3569.07988535992,3749,"2024-07-26",11204
"8","Plutôt à droite","Pas confiance",80.3828120421534,3569.07988535992,3749,"2024-07-26",11204
"9","Très à droite","Confiance",12.6891469129122,1445.63781967302,1364,"2024-07-26",11204
"10","Très à droite","Pas confiance",87.3108530870878,1445.63781967302,1364,"2024-07-26",11204
