"","Y1REG13ST","Y1CERTST","pct","n","unweighted_n"
"1","Île-de-France","1",12.5857902392501,1808.33191083972,1827
"2","Île-de-France","2",49.6332366790516,1808.33191083972,1827
"3","Île-de-France","3",37.7809730816983,1808.33191083972,1827
"4","Centre - Val de Loire","1",13.8623148535917,431.61979824595,455
"5","Centre - Val de Loire","2",49.1192164059383,431.61979824595,455
"6","Centre - Val de Loire","3",37.01846874047,431.61979824595,455
"7","Bourgogne - Franche-Comté","1",15.3748810577384,477.332107045361,467
"8","Bourgogne - Franche-Comté","2",48.8144756572189,477.332107045361,467
"9","Bourgogne - Franche-Comté","3",35.8106432850426,477.332107045361,467
"10","Normandie","1",13.7329313978565,569.821430059907,528
"11","Normandie","2",48.4608348662731,569.821430059907,528
"12","Normandie","3",37.8062337358704,569.821430059907,528
"13","Hauts-de-France","1",15.4661010790017,997.187489393976,1010
"14","Hauts-de-France","2",47.0569682060244,997.187489393976,1010
"15","Hauts-de-France","3",37.4769307149739,997.187489393976,1010
"16","Grand Est","1",15.2951783388868,925.961003850034,948
"17","Grand Est","2",50.4679655337904,925.961003850034,948
"18","Grand Est","3",34.2368561273228,925.961003850034,948
"19","Pays de la Loire","1",15.5517863620373,635.734540860832,661
"20","Pays de la Loire","2",51.007151644741,635.734540860832,661
"21","Pays de la Loire","3",33.4410619932217,635.734540860832,661
"22","Bretagne","1",16.8763394940362,570.88546108385,624
"23","Bretagne","2",47.0456608953651,570.88546108385,624
"24","Bretagne","3",36.0779996105988,570.88546108385,624
"25","Nouvelle-Aquitaine","1",14.2658548092428,1026.95392656671,973
"26","Nouvelle-Aquitaine","2",48.1568771415482,1026.95392656671,973
"27","Nouvelle-Aquitaine","3",37.577268049209,1026.95392656671,973
"28","Occitanie","1",15.8384344578814,988.683449184987,992
"29","Occitanie","2",45.6930215896208,988.683449184987,992
"30","Occitanie","3",38.4685439524978,988.683449184987,992
"31","Auvergne-Rhône-Alpes","1",15.6865443218952,1303.36003269034,1274
"32","Auvergne-Rhône-Alpes","2",50.9775518539727,1303.36003269034,1274
"33","Auvergne-Rhône-Alpes","3",33.3359038241321,1303.36003269034,1274
"34","Provence-Alpes-Côte d'Azur","1",11.9256147302337,868.669535433115,847
"35","Provence-Alpes-Côte d'Azur","2",47.6664310323968,868.669535433115,847
"36","Provence-Alpes-Côte d'Azur","3",40.4079542373695,868.669535433115,847
"37","Corse","1",17.2172618324016,26.4593147451932,25
"38","Corse","2",47.5991226620684,26.4593147451932,25
"39","Corse","3",35.18361550553,26.4593147451932,25
