"","PL3ST_6","pct","n","VAGUE","TAILLEECH"
"1","Vous vouliez faire barrage au candidat qui se présentait contre le candidat du RN",4,451,"2024-07-26",11204
"2","Non réponse",96,10753,"2024-07-26",11204
