"","PL13ST","pct","n","VAGUE","TAILLEECH"
"1","Des conséquences négatives",12.1,1355.6,"2024-07-26",11204
"2","Des conséquences positives",67.1,7512.3,"2024-07-26",11204
"3","Des conséquences ni positives, ni négatives",20.8,2331.3,"2024-07-26",11204
