"","PL4ST","pct","n","VAGUE","TAILLEECH"
"1","Sentiment positif",31.9,3578.4,"2024-07-26",11204
"2","Indifférence",12.1,1357.1,"2024-07-26",11204
"3","Sentiment négatif",55.9,6268.4,"2024-07-26",11204
