"","Y7SEXEST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","Vous n'avez pas voté",10.9440437775218,5341.15106954219,5640,"2024-07-26",11204
"2","Homme","Vous avez voté",89.0559562224782,5341.15106954219,5640,"2024-07-26",11204
"3","Femme","Vous n'avez pas voté",12.6706128720126,5859.06592681131,5562,"2024-07-26",11204
"4","Femme","Vous avez voté",87.3293871279874,5859.06592681131,5562,"2024-07-26",11204
