"","PL3ST_4","pct","n","VAGUE","TAILLEECH"
"1","On n’a jamais essayé le Rassemblement national, il ne peut pas faire plus mal que les autres partis",8.8,985,"2024-07-26",11204
"2","Non réponse",91.2,10219,"2024-07-26",11204
