"","Y7REL1ST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Sentiment positif (joie, espoir ou soulagement)",25.9539414939604,5433.52628385584,5712,"2024-07-26",11204
"2","Catholique","Indifférence",9.77270587048746,5433.52628385584,5712,"2024-07-26",11204
"3","Catholique","Sentiment négatif (déception, colère ou peur)",64.2733526355521,5433.52628385584,5712,"2024-07-26",11204
"4","Juive","Sentiment positif (joie, espoir ou soulagement)",22.6266981961511,73.6740140695289,76,"2024-07-26",11204
"5","Juive","Indifférence",6.22965241553159,73.6740140695289,76,"2024-07-26",11204
"6","Juive","Sentiment négatif (déception, colère ou peur)",71.1436493883173,73.6740140695289,76,"2024-07-26",11204
"7","Musulmane","Sentiment positif (joie, espoir ou soulagement)",66.5844147288218,300.303699963467,227,"2024-07-26",11204
"8","Musulmane","Indifférence",11.453690848793,300.303699963467,227,"2024-07-26",11204
"9","Musulmane","Sentiment négatif (déception, colère ou peur)",21.9618944223852,300.303699963467,227,"2024-07-26",11204
"10","Autre religion (protestante, boudhiste ou autre)","Sentiment positif (joie, espoir ou soulagement)",41.2950232604222,473.930893404386,431,"2024-07-26",11204
"11","Autre religion (protestante, boudhiste ou autre)","Indifférence",12.7375202952276,473.930893404386,431,"2024-07-26",11204
"12","Autre religion (protestante, boudhiste ou autre)","Sentiment négatif (déception, colère ou peur)",45.9674564443502,473.930893404386,431,"2024-07-26",11204
"13","Sans religion","Sentiment positif (joie, espoir ou soulagement)",35.4968579282176,4792.71198847587,4658,"2024-07-26",11204
"14","Sans religion","Indifférence",14.5683835489338,4792.71198847587,4658,"2024-07-26",11204
"15","Sans religion","Sentiment négatif (déception, colère ou peur)",49.9347585228487,4792.71198847587,4658,"2024-07-26",11204
