"","SEXEST","CERTST1","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","1",27.5584375699536,5066.227461699,5209,"2023-06-16",10600
"2","Femme","1",30.9326999438159,5564.77253830098,5422,"2023-06-16",10600
"3","Homme","1",26.3562582493154,5575.40932367434,5741,"2023-11-29",11691
"4","Femme","1",32.4663190419993,6115.5906763256,5950,"2023-11-29",11691
"5","Homme","1",18.1408347156597,5613.08919017105,5642,"2024-03-01",11770
"6","Femme","1",24.2462398436207,6156.91080982889,6128,"2024-03-01",11770
"7","Homme","1",18.6154043952116,5079.43694281858,5223,"2024-04-19",10651
"8","Femme","1",22.8893183088286,5571.5630571814,5428,"2024-04-19",10651
"9","Homme","1",17.0176774473093,5450.93869663484,5679,"2024-05-27",11430
"10","Femme","1",20.5651768010112,5979.06130336514,5751,"2024-05-27",11430
