"","Y7PROXST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Favorable",75.5822573463521,1244.62739021461,1010,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Pas favorable",24.4177426536479,1244.62739021461,1010,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Favorable",42.0894239536415,1693.26809801803,1880,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Pas favorable",57.9105760463585,1693.26809801803,1880,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Favorable",11.916554191795,1529.79064715371,1667,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Pas favorable",88.083445808205,1529.79064715371,1667,"2024-07-26",11204
"7","Droite (Les Républicains)","Favorable",30.2358350745254,769.550724279786,904,"2024-07-26",11204
"8","Droite (Les Républicains)","Pas favorable",69.7641649254746,769.550724279786,904,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Favorable",75.1407796429431,2786.02103028976,2663,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Pas favorable",24.8592203570569,2786.02103028976,2663,"2024-07-26",11204
"11","Autre parti ou aucun parti","Favorable",49.4884134394537,3172.08352189744,3074,"2024-07-26",11204
"12","Autre parti ou aucun parti","Pas favorable",50.5115865605463,3172.08352189744,3074,"2024-07-26",11204
