"","Y7PROXST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Souvent",42.0355824100398,1244.62739021461,1010,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Rarement ou jamais",57.9644175899602,1244.62739021461,1010,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Souvent",26.8076291049145,1694.11332416987,1880,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Rarement ou jamais",73.1923708950854,1694.11332416987,1880,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","Souvent",25.0720939302378,1528.99545678068,1666,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","Rarement ou jamais",74.9279060697622,1528.99545678068,1666,"2024-07-26",11204
"7","Droite (Les Républicains)","Souvent",23.5227711605319,769.550724279786,904,"2024-07-26",11204
"8","Droite (Les Républicains)","Rarement ou jamais",76.4772288394681,769.550724279786,904,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Souvent",25.5855993874406,2784.89344256876,2662,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Rarement ou jamais",74.4144006125594,2784.89344256876,2662,"2024-07-26",11204
"11","Autre parti ou aucun parti","Souvent",19.8720662876617,3171.4438996654,3072,"2024-07-26",11204
"12","Autre parti ou aucun parti","Rarement ou jamais",80.1279337123383,3171.4438996654,3072,"2024-07-26",11204
